id,title,country,region,winery,variety,vintage,description,points,price,alcohol,acidity,body,tannins,sweetness,style,image_url,mood_tags,food_pairing,tasting_notes,winery_history
2090,Mumm Napa 2011 DVX Sparkling Rosé Sparkling (Napa Valley),US,Napa Valley,Mumm Napa,Sparkling Blend,2011,"This blends 52% Chardonnay and 48% Pinot Noir in a seamless, focused package of bright acidity, moderate mousse and tangled peach, tangerine and blood orange flavors. It has impressive complexity and length, with a nutty note that closes out the finish.",92,80.0,13.5,High,Medium-Full,Low,Dry,Sparkling,https://cdn.wine-searcher.com/images/labels/mumm-napa-2011-sparkling-blend-159571.jpg,"Celebratory, Pleasant, Outstanding","Oysters, Celebration cake, Soft cheeses, Fried chicken","This blends 52% Chardonnay and 48% Pinot Noir in a seamless, focused package of bright acidity, moderate mousse and tangled peach, tangerine and blood orange flavors. It has impressive complexity and length, with a nutty note that closes out the finish.","Mumm Napa was founded in 1992 during the modern American wine renaissance, pioneering sustainable farming practices."
2091,Vite Colte 2011 del Comune di Barolo Essenze  (Barolo),Italy,Barolo,Vite Colte,Nebbiolo,2011,"Forest floor, woodland berry and spice aromas emerge in the glass. The tight palate offers sour cherry, white pepper, grilled herb and a whiff of tobacco alongside close-grained tannins and racy acidity. An anisette note closes the finish.",89,70.0,12.3,High,Full,Medium-High,Dry,Still Red,https://wine-images.wine.com/media/catalog/product/vite-colte-2011-nebbiolo-830270.jpg,"Reliable, Balanced, Pleasant","Grilled vegetables, Stewed dishes, Hard cheeses, Pasta","Forest floor, woodland berry and spice aromas emerge in the glass. The tight palate offers sour cherry, white pepper, grilled herb and a whiff of tobacco alongside close-grained tannins and racy acidity. An anisette note closes the finish.","Vite Colte represents centuries of Italian winemaking tradition, with vineyards that have been cultivated since the Renaissance."
2092,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),France,Alsace,Dopff & Irion,Riesling,2004,"Medium-gold in color. Complex and inviting nose layered with a strong earthy minerality, vibrant bright fruit and intriguing notes of petrol and honey. On the palate it is racy, taut and focused full of well defined ripe succulent citrus and stone fruit. Rich, viscous texture perfectly balanced by the wine's crispness and almost steely minerality. Very long, juicy, lingering finish.",92,80.0,11.4,Medium-High,Medium-Full,None,Dry,Still White,https://images.vivino.com/thumbs/dopff-and-irion-2004-riesling-888885.jpg,"Outstanding, Aromatic, Bright, Refreshing, Complex","Apple tart, Spicy Asian cuisine, Soft cheeses, Shellfish","Medium-gold in color. Complex and inviting nose layered with a strong earthy minerality, vibrant bright fruit and intriguing notes of petrol and honey. On the palate it is racy, taut and focused full of well defined ripe succulent citrus and stone fruit. Rich, viscous texture perfectly balanced by the wine's crispness and almost steely minerality. Very long, juicy, lingering finish.",A historic French winery that has weathered both world wars and continues to produce wines that reflect the unique characteristics of its France origins.
2093,Kestrel 2015 Falcon Series Sauvignon Blanc (Columbia Valley (WA)),US,Columbia Valley (WA),Kestrel,Sauvignon Blanc,2015,"Light aromas of tropical fruit, apple, melon and spice lead to lightly styled fruit flavors. The concentration doesn't seem to be all there.",85,21.0,13.0,Medium-High,Light,None,Dry,Still White,https://cdn.wine-searcher.com/images/labels/kestrel-2015-sauvignon-blanc-176151.jpg,"Crisp, Intimate, Vibrant, Reliable, Good","Light seafood, Goat cheese salad, Grilled vegetables","Light aromas of tropical fruit, apple, melon and spice lead to lightly styled fruit flavors. The concentration doesn't seem to be all there.",Established by passionate winemakers who moved to US to pursue their dream of creating world-class wines in the New World style.
2094,Còlpetrone 2006 Passito  (Montefalco Sagrantino),Italy,Montefalco Sagrantino,Còlpetrone,Sagrantino,2006,"Like all good passito dessert wines made from the Sagrantino grape, this shows firmness and structure, with aromatic characteristics of bitter chocolate and cherry liqueur.",88,65.0,11.3,High,Medium-Full,Medium,Dry,Still Red,https://wine-images.wine.com/media/catalog/product/còlpetrone-2006-sagrantino-233375.jpg,"Smooth, Good, Balanced, Reliable","Pasta, Stewed dishes, Grilled vegetables, Red meat","Like all good passito dessert wines made from the Sagrantino grape, this shows firmness and structure, with aromatic characteristics of bitter chocolate and cherry liqueur.","Còlpetrone represents centuries of Italian winemaking tradition, with vineyards that have been cultivated since the Medieval period."
2095,Waterbrook 2013 Syrah (Columbia Valley (WA)),US,Columbia Valley (WA),Waterbrook,Syrah,2013,"Aromas of cocoa, spice, vanilla and dark fruit lead, with the oak (20% new French and American) playing a significant role. The blue-fruit flavors are plump in feel, narrowing toward the finish.",88,16.0,15.1,High,Full,Medium-High,Dry,Still Red,https://wine-images.wine.com/media/catalog/product/waterbrook-2013-syrah-608152.jpg,"Good, Cozy, Bold, Sophisticated","Spicy sausages, BBQ ribs, Aged gouda","Aromas of cocoa, spice, vanilla and dark fruit lead, with the oak (20% new French and American) playing a significant role. The blue-fruit flavors are plump in feel, narrowing toward the finish.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
2096,Quivira 2006 Wine Creek Ranch Mourvèdre (Dry Creek Valley),US,Dry Creek Valley,Quivira,Mourvèdre,2006,"Mourvèdre is an awfully hard variety to get right in California, but Quivera has done an outstanding job. The wine is fully ripe, showing cassis, milk chocolate and pepperspice flavors, and it's also very soft, making it immediately drinkable. But it's the refined tannin structure that lifts it up.",89,32.0,12.1,High,Medium-Full,Medium-High,Dry,Still Red,https://images.vivino.com/thumbs/quivira-2006-mourvèdre-158384.jpg,"Pleasant, Smooth, Good","Pasta, Red meat, Hard cheeses, Grilled vegetables","Mourvèdre is an awfully hard variety to get right in California, but Quivera has done an outstanding job. The wine is fully ripe, showing cassis, milk chocolate and pepperspice flavors, and it's also very soft, making it immediately drinkable. But it's the refined tannin structure that lifts it up.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
2097,Villa Raiano 2014 22  (Fiano di Avellino),Italy,Fiano di Avellino,Villa Raiano,Fiano,2014,"Subtle and elegant, this opens with a smoky aroma that underscores delicate scents of orchard fruit, citrus and botanical herb. The aromas follow through to the linear palate along with a racy mineral vein. A note of cured meat closes the racy finish.",89,30.0,12.7,Medium,Full,High,Dry,Still Red,https://images.wine.com/labels/villa-raiano-2014-fiano-708380.jpg,"Good, Celebratory, Reliable, Balanced","Hard cheeses, Red meat, Grilled vegetables","Subtle and elegant, this opens with a smoky aroma that underscores delicate scents of orchard fruit, citrus and botanical herb. The aromas follow through to the linear palate along with a racy mineral vein. A note of cured meat closes the racy finish.","Established in 1943, Villa Raiano has become synonymous with quality Italian wine production and sustainable viticulture."
2098,Graf Hardegg 2010 Brut Sparkling (Österreichischer Sekt),Austria,Österreichischer Sekt,Graf Hardegg,Sparkling Blend,2010,"Great freshness and and almost grassy fruitiness join the yeasty autolytic notes. There is frothy liveliness and irrepressible fruit—red and green apple, a hint of pineapple and zesty lemon. This is one for those who prefer their sparklers full of fruit and life. Midpalate concentration makes this robust enough for food.",89,29.0,13.7,Medium-High,Light,Medium-High,Dry,Sparkling,https://images.wine.com/labels/graf-hardegg-2010-sparkling-blend-528243.jpg,"Reliable, Good, Pleasant, Social, Smooth","Caviar, Fried chicken, Celebration cake","Great freshness and and almost grassy fruitiness join the yeasty autolytic notes. There is frothy liveliness and irrepressible fruit—red and green apple, a hint of pineapple and zesty lemon. This is one for those who prefer their sparklers full of fruit and life. Midpalate concentration makes this robust enough for food.","Graf Hardegg is a respected winery from Austria, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
2099,Monte Xanic 2011 Viña Kristel Sauvignon Blanc (Valle de Guadalupe),Mexico,Valle de Guadalupe,Monte Xanic,Sauvignon Blanc,2011,"Here's a true Sauvignon Blanc with spunky green aromas and plenty of grapefruit. It feels citric and lemony on the tongue, with citrusy flavors of tangerine and lime. It finishes tight and zesty, like a good Sauvignon Blanc should.",86,13.0,12.8,High,Light,None,Dry,Still White,https://images.wine.com/labels/monte-xanic-2011-sauvignon-blanc-262540.jpg,"Casual, Good, Festive, Fresh, Vibrant","Sushi, Light seafood, Grilled vegetables","Here's a true Sauvignon Blanc with spunky green aromas and plenty of grapefruit. It feels citric and lemony on the tongue, with citrusy flavors of tangerine and lime. It finishes tight and zesty, like a good Sauvignon Blanc should.","Monte Xanic is a respected winery from Mexico, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
2100,Casabianca NV Brut  (Prosecco Treviso),Italy,Prosecco Treviso,Casabianca,Glera,2017,"Crisp and fresh, this has a bright bouquet of honey chopped herb and stone fruit. This simple sparkler would taste fantastic on a hot summer afternoon.",85,21.55,11.2,Medium-High,Light,Low,Dry,Still Red,https://cdn.wine-searcher.com/images/labels/casabianca-2017-glera-436371.jpg,"Balanced, Smooth, Good, Sophisticated","Grilled vegetables, Hard cheeses, Red meat, Stewed dishes","Crisp and fresh, this has a bright bouquet of honey chopped herb and stone fruit. This simple sparkler would taste fantastic on a hot summer afternoon.",This family-owned estate in Italy combines ancient techniques with modern innovation to create wines that honor their Italian heritage.
2101,Pierre André 2009  Chassagne-Montrachet,France,Chassagne-Montrachet,Pierre André,Chardonnay,2009,"A soft, perfumed wine, with yellow fruits, green plums and an orange zest texture. It is pure and fresh, emphasizing acidity as well as fruit. There is a delicious, fresh character to this ready-to-drink wine.",89,16.18,12.9,Medium-Low,Medium-Full,None,Dry,Still White,https://cdn.wine-searcher.com/images/labels/pierre-andré-2009-chardonnay-425319.jpg,"Reliable, Festive, Rich","Grilled fish, Creamy pasta, Brie cheese, Roasted chicken","A soft, perfumed wine, with yellow fruits, green plums and an orange zest texture. It is pure and fresh, emphasizing acidity as well as fruit. There is a delicious, fresh character to this ready-to-drink wine.","Pierre André is a traditional French winery established in the late 1800s, known for its commitment to terroir and time-honored winemaking techniques."
2102,Brick & Mortar 2015 Fort Ross Vineyard Chardonnay (Fort Ross-Seaview),US,Fort Ross-Seaview,Brick & Mortar,Chardonnay,2015,"Bright tangerine and wet stone notes kick off the palate in this light-bodied Chardonnay. As it opens, those notes develop into more defined lemon and tart green apple flavors. It's nice, vibrant and ready for salty food.",91,55.0,14.4,Medium-Low,Full,None,Dry,Still White,https://images.vivino.com/thumbs/brick-and-mortar-2015-chardonnay-713556.jpg,"Outstanding, Luxurious, Celebratory, Complex","Lobster, Brie cheese, Roasted chicken","Bright tangerine and wet stone notes kick off the palate in this light-bodied Chardonnay. As it opens, those notes develop into more defined lemon and tart green apple flavors. It's nice, vibrant and ready for salty food.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
2103,Everett Ridge 1998 Old Vines Zinfandel (Dry Creek Valley),US,Dry Creek Valley,Everett Ridge,Zinfandel,1998,"Very pretty nose, with plenty of raspberry-focused fruit, and a nice creamy mouthfeel. Delicious, mouth-filling, concentrated wine, with a lot of finesse and a wonderful ripeness. Smooth tannins, long finish, with a touch of toast.",90,22.0,13.6,High,Full,Low,Dry,Still Red,https://images.vivino.com/thumbs/everett-ridge-1998-zinfandel-660769.jpg,"Pleasant, Complex, Balanced, Smooth","Red meat, Pasta, Grilled vegetables","Very pretty nose, with plenty of raspberry-focused fruit, and a nice creamy mouthfeel. Delicious, mouth-filling, concentrated wine, with a lot of finesse and a wonderful ripeness. Smooth tannins, long finish, with a touch of toast.",Established by passionate winemakers who moved to US to pursue their dream of creating world-class wines in the New World style.
2104,Juris 2011 Selection Pinot Noir (Burgenland),Austria,Burgenland,Juris,Pinot Noir,2011,"A trim, redcurrant fruited light red that is very refreshing: this might even take to being chilled. Red-currant flavors are uppermost, the tannins are soft, light and ready. Drink this now while it's fresh and fruity.",86,26.0,13.2,Medium-High,Medium,Medium,Dry,Still Red,https://images.vivino.com/thumbs/juris-2011-pinot-noir-396122.jpg,"Good, Delicate, Romantic","Duck breast, Grilled salmon, Soft cheeses, Mushroom risotto","A trim, redcurrant fruited light red that is very refreshing: this might even take to being chilled. Red-currant flavors are uppermost, the tannins are soft, light and ready. Drink this now while it's fresh and fruity.","Juris is a respected winery from Austria, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
2105,Terralsole 2006  Brunello di Montalcino,Italy,Brunello di Montalcino,Terralsole,Sangiovese Grosso,2006,"Brunello is the perfect winter wine to enjoy by a roaring fire with friends or a romantic partner. This expression from Terralsole is particularly well suited to this happy fate thanks to its silky, soft nature, firm tannins, spice aromas and bursting fruit tones.",92,75.0,13.5,Medium,Medium-Full,Medium,Dry,Still Red,https://images.wine.com/labels/terralsole-2006-sangiovese-gros-673154.jpg,"Festive, Smooth, Balanced","Pasta, Hard cheeses, Grilled vegetables, Red meat","Brunello is the perfect winter wine to enjoy by a roaring fire with friends or a romantic partner. This expression from Terralsole is particularly well suited to this happy fate thanks to its silky, soft nature, firm tannins, spice aromas and bursting fruit tones.",This family-owned estate in Italy combines ancient techniques with modern innovation to create wines that honor their Italian heritage.
2106,Château de Pourcieux 2016 Rosé (Côtes de Provence),France,Côtes de Provence,Château de Pourcieux,Rosé,2016,"In the same family since the 18th century, this estate has produced a soft, smooth and rounded wine. It has weight while the red fruits are ripe and full in the mouth. It does miss some crispness, although with its forward fruitiness it is generous and ready to drink.",88,20.0,11.8,Medium-High,Light,Medium,Dry,Rosé,https://wine-images.wine.com/media/catalog/product/château-de-pourcieux-2016-rosé-175714.jpg,"Reliable, Smooth, Pleasant","Grilled shrimp, Mediterranean salad, Fresh berries, Charcuterie","In the same family since the 18th century, this estate has produced a soft, smooth and rounded wine. It has weight while the red fruits are ripe and full in the mouth. It does miss some crispness, although with its forward fruitiness it is generous and ready to drink.","Château de Pourcieux is a traditional French winery established in the early 1800s, known for its commitment to terroir and time-honored winemaking techniques."
2107,Luigi Bosca 2005 D.O.C Single Vineyard Malbec (Luján de Cuyo),Argentina,Luján de Cuyo,Luigi Bosca,Malbec,2005,"Far less ripe and appealing than the 2004 version. The '05 comes out of the chute smelling malty and lactic; airing reveals strawberry milk notes, while the flavors struggle to express themselves. Sticky, oily and as if someone hit the mute button along the way. Where's the ripe, lush quality we've come to love about Argentinean Malbec?",84,22.0,14.3,Medium,Full,Medium-High,Dry,Still Red,https://images.wine.com/labels/luigi-bosca-2005-malbec-314483.jpg,"Smooth, Pleasant, Balanced","Red meat, Stewed dishes, Grilled vegetables, Hard cheeses","Far less ripe and appealing than the 2004 version. The '05 comes out of the chute smelling malty and lactic; airing reveals strawberry milk notes, while the flavors struggle to express themselves. Sticky, oily and as if someone hit the mute button along the way. Where's the ripe, lush quality we've come to love about Argentinean Malbec?","Luigi Bosca is a respected winery from Argentina, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
2108,Vine Cliff 2013 Chardonnay (Los Carneros),US,Los Carneros,Vine Cliff,Chardonnay,2013,"This full-bodied wine has a voluptuous entry that's slightly tropical in pineapple and Asian pear, as well as vanilla-layered oak. The expansive beginning segues smoothly into a higher-wire act of minerality, finishing fleshy and fresh.",90,40.0,13.9,Medium-Low,Full,None,Dry,Still White,https://images.vivino.com/thumbs/vine-cliff-2013-chardonnay-353061.jpg,"Creamy, Rich, Outstanding, Complex","Lobster, Roasted chicken, Brie cheese","This full-bodied wine has a voluptuous entry that's slightly tropical in pineapple and Asian pear, as well as vanilla-layered oak. The expansive beginning segues smoothly into a higher-wire act of minerality, finishing fleshy and fresh.","Vine Cliff was founded in 1988 during the modern American wine renaissance, pioneering sustainable farming practices."
2109,Sheldrake Point 2012 Reserve Dry Riesling (Finger Lakes),US,Finger Lakes,Sheldrake Point,Riesling,2012,"While demure on the nose with just hints of yellow peach and spice, this dry, medium-bodied Riesling builds in intensity on the palate with concentrated flavors of tangerine and yellow cherry. A streak of lemon-lime acidity stretches out the finish.",89,30.0,8.9,Medium-High,Medium-Full,None,Dry,Still White,https://wine-images.wine.com/media/catalog/product/sheldrake-point-2012-riesling-849742.jpg,"Reliable, Refreshing, Bright, Aromatic","Soft cheeses, Pork tenderloin, Spicy Asian cuisine, Apple tart","While demure on the nose with just hints of yellow peach and spice, this dry, medium-bodied Riesling builds in intensity on the palate with concentrated flavors of tangerine and yellow cherry. A streak of lemon-lime acidity stretches out the finish.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
2110,J. Lohr 2011 South Ridge Syrah (Paso Robles),US,Paso Robles,J. Lohr,Syrah,2011,"With a light, silky mouthfeel and easy flavors of red currants, spicy plum sauce and cola, this Syrah provides nice drinking now. It's a good, elegant wine, and the winery hasn't raised the price in many years.",85,15.0,14.1,High,Medium-Full,Medium-High,Dry,Still Red,https://images.vivino.com/thumbs/j.-lohr-2011-syrah-384988.jpg,"Reliable, Intimate, Good, Bold","Dark berries, Grilled lamb, BBQ ribs","With a light, silky mouthfeel and easy flavors of red currants, spicy plum sauce and cola, this Syrah provides nice drinking now. It's a good, elegant wine, and the winery hasn't raised the price in many years.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
2111,André Brunel 2009 Cuvée Sabrine Red (Côtes du Rhône Villages),France,Côtes du Rhône Villages,André Brunel,Rhône-style Red Blend,2009,"Dark and intense, with notes of roasted meat, plum and black olive that give way to an espresso note and chalky tannins on the finish. Pretty stern stuff, which just means you'll want to give it another year or two before drinking it over the next 5–6 years.",88,15.0,12.1,Medium,Light,Medium-High,Dry,Still Red,https://images.vivino.com/thumbs/andré-brunel-2009-rhône-style-red-743895.jpg,"Pleasant, Reliable, Good, Balanced, Festive","Pasta, Grilled vegetables, Stewed dishes","Dark and intense, with notes of roasted meat, plum and black olive that give way to an espresso note and chalky tannins on the finish. Pretty stern stuff, which just means you'll want to give it another year or two before drinking it over the next 5–6 years.","André Brunel is a traditional French winery established in the mid-1800s, known for its commitment to terroir and time-honored winemaking techniques."
2112,Boeckel 2015 Zotzenberg Grand Cru Sylvaner (Alsace),France,Alsace,Boeckel,Sylvaner,2015,"Shy but very pure notes of ripe juicy pear and fresh ripe mirabelle plum appear on the nose. They continue seamlessly on the full-bodied palate where they find a fitting counterpoint in its phenolic texture, which has a pleasantly bitter edge. This is bone dry but unusually full-bodied for a Sylvaner, highlighting the ripeness of the 2015 vintage. The finish is long and underlines the quiet power of this wine.",91,40.0,12.7,Medium-High,Light,Low,Dry,Still Red,https://wine-images.wine.com/media/catalog/product/boeckel-2015-sylvaner-670274.jpg,"Smooth, Outstanding, Balanced, Complex","Hard cheeses, Stewed dishes, Pasta","Shy but very pure notes of ripe juicy pear and fresh ripe mirabelle plum appear on the nose. They continue seamlessly on the full-bodied palate where they find a fitting counterpoint in its phenolic texture, which has a pleasantly bitter edge. This is bone dry but unusually full-bodied for a Sylvaner, highlighting the ripeness of the 2015 vintage. The finish is long and underlines the quiet power of this wine.","Founded by the Boeckel family, this estate has been producing exceptional wines in France for over 3 generations."
2113,Domaine Zinck NV Rosé Sparkling (Crémant d'Alsace),France,Crémant d'Alsace,Domaine Zinck,Sparkling Blend,2019,"Creamy notes hover over red apple on the beautifully dry palate. The body is rounded and almost rich, with a touch of bitterness creeping into the autolytic, bready background. This is rounded enough for food and will be very versatile, especially with roast or grilled salmon dishes.",88,26.0,14.9,Medium-High,Full,Medium,Dry,Sparkling,https://cdn.wine-searcher.com/images/labels/domaine-zinck-2019-sparkling-blend-695934.jpg,"Smooth, Good, Reliable, Social","Oysters, Celebration cake, Soft cheeses","Creamy notes hover over red apple on the beautifully dry palate. The body is rounded and almost rich, with a touch of bitterness creeping into the autolytic, bready background. This is rounded enough for food and will be very versatile, especially with roast or grilled salmon dishes.","Founded by the Domaine family, this estate has been producing exceptional wines in France for over 5 generations."
2114,Concha y Toro 1999 Xplorador Chardonnay (Casablanca Valley),Chile,Casablanca Valley,Concha y Toro,Chardonnay,1999,"Ripe pear-pineapple fruit is layered with vanilla and tinged with citrus. This is a plump, slightly heavy Chard best served cold at parties and picnics.",84,8.0,12.2,Medium,Medium-Full,None,Dry,Still White,https://images.vivino.com/thumbs/concha-y-toro-1999-chardonnay-396729.jpg,"Celebratory, Rich, Luxurious, Creamy, Intimate","Creamy pasta, Roasted chicken, Brie cheese","Ripe pear-pineapple fruit is layered with vanilla and tinged with citrus. This is a plump, slightly heavy Chard best served cold at parties and picnics.","Concha y Toro is a respected winery from Chile, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
2115,Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),US,Napa Valley,Sequum,Cabernet Sauvignon,2013,"This is a soft, well-crafted wine from the eastern side of St. Helena that's both classic in its dried herb, tobacco and tea aromas and fruity with red currant and cranberry notes.",90,60.0,14.5,Medium-High,Medium-Full,None,Dry,Still White,https://wine-images.wine.com/media/catalog/product/sequum-2013-cabernet-sauvig-923519.jpg,"Complex, Outstanding, Bold, Social, Sophisticated","Fresh cheeses, Light poultry, Salads, Seafood","This is a soft, well-crafted wine from the eastern side of St. Helena that's both classic in its dried herb, tobacco and tea aromas and fruity with red currant and cranberry notes.","Sequum was founded in 1968 during the modern American wine renaissance, pioneering sustainable farming practices."
2116,Dutton-Goldfield 2007 McDougall Vineyard Pinot Noir (Sonoma Coast),US,Sonoma Coast,Dutton-Goldfield,Pinot Noir,2007,"Fresh, fruity and acidic, this young Pinot Noir wants some time in the cellar. It's brilliantly structured, with a core of black cherries, cola, rhubarbs, pomegranates, mushrooms and spices, with rich notes of smoke, cocoa and cedar. Silky and complex, and should age through 2013.",94,58.0,11.9,High,Light,Medium,Dry,Still Red,https://images.wine.com/labels/dutton-goldfield-2007-pinot-noir-238303.jpg,"Outstanding, Elegant, Romantic","Duck breast, Grilled salmon, Mushroom risotto, Soft cheeses","Fresh, fruity and acidic, this young Pinot Noir wants some time in the cellar. It's brilliantly structured, with a core of black cherries, cola, rhubarbs, pomegranates, mushrooms and spices, with rich notes of smoke, cocoa and cedar. Silky and complex, and should age through 2013.",A boutique American winery that focuses on small-batch production and showcasing the unique terroir of US wine regions.
2117,Château Léoville Barton 2013  Saint-Julien,France,Saint-Julien,Château Léoville Barton,Bordeaux-style Red Blend,2013,"Part of the select group of impressive wines from this year, this wine is ripe, rich and firmly structured. Black-currant fruitiness forms the base for solid tannins and a concentrated texture. The hints of wood-aging need to soften. Drink from 2022.",93,21.14,14.9,Medium,Medium,Medium-High,Dry,Still Red,https://cdn.wine-searcher.com/images/labels/château-léoville-bar-2013-bordeaux-style--430557.jpg,"Smooth, Complex, Festive, Pleasant","Stewed dishes, Red meat, Hard cheeses","Part of the select group of impressive wines from this year, this wine is ripe, rich and firmly structured. Black-currant fruitiness forms the base for solid tannins and a concentrated texture. The hints of wood-aging need to soften. Drink from 2022.","Château Léoville Barton is a traditional French winery established in the late 1800s, known for its commitment to terroir and time-honored winemaking techniques."
2118,14 Hands 2015 Cabernet Sauvignon (Columbia Valley (WA)),US,Columbia Valley (WA),14 Hands,Cabernet Sauvignon,2015,"The aromas of barrel spice, toast, herb and plum are reticent on first pour. On the palate, sweet fruit flavors are supported by lightly grainy tannins. It's straight down the fairway.",88,12.0,13.7,High,Full,None,Dry,Still White,https://images.wine.com/labels/14-hands-2015-cabernet-sauvig-874062.jpg,"Powerful, Good, Sophisticated, Bold, Social","Seafood, Light poultry, Vegetables","The aromas of barrel spice, toast, herb and plum are reticent on first pour. On the palate, sweet fruit flavors are supported by lightly grainy tannins. It's straight down the fairway.","14 Hands was founded in 1970 during the modern American wine renaissance, pioneering sustainable farming practices."
2119,Château Minuty 2015 Rose et Or Rosé (Côtes de Provence),France,Côtes de Provence,Château Minuty,Rosé,2015,"The top wine from this estate, this is also the most dense and tight. An ageworthy medley of red fruits and peach is sharpened by acidity and a peppery edge. It does have a lighter touch with its poised crisp texture and its juicy aftertaste. However, it will be even better from the end of 2016.",93,40.0,12.6,Medium,Light,Low,Dry,Rosé,https://images.wine.com/labels/château-minuty-2015-rosé-345317.jpg,"Complex, Outstanding, Smooth, Pleasant","Light pasta, Fresh berries, Mediterranean salad, Grilled shrimp","The top wine from this estate, this is also the most dense and tight. An ageworthy medley of red fruits and peach is sharpened by acidity and a peppery edge. It does have a lighter touch with its poised crisp texture and its juicy aftertaste. However, it will be even better from the end of 2016.","Founded by the Château family, this estate has been producing exceptional wines in France for over 6 generations."
2120,San Pedro 2013 Castillo de Molina Reserva Merlot (Central Valley),Chile,Central Valley,San Pedro,Merlot,2013,"Edgy, herbal aromas are low on fruit. For basic Merlot, this isn't bad. It's full in body, with solid tannins. An herbal, peppery, green-infused plum-and-raspberry finish is tannic and scratchy.",85,12.0,14.0,Medium,Medium,High,Dry,Still Red,https://wine-images.wine.com/media/catalog/product/san-pedro-2013-merlot-216810.jpg,"Pleasant, Reliable, Smooth","Roasted pork, Blue cheese, Pasta with tomato sauce","Edgy, herbal aromas are low on fruit. For basic Merlot, this isn't bad. It's full in body, with solid tannins. An herbal, peppery, green-infused plum-and-raspberry finish is tannic and scratchy.","San Pedro is a respected winery from Chile, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
2121,Domaine Sangouard-Guyot 2014 Terroirs  (Pouilly-Fuissé),France,Pouilly-Fuissé,Domaine Sangouard-Guyot,Chardonnay,2014,"This citrus-laden wine shows its fresh fruits right up front. It is bright, crisp and full of lime and lemon flavors. Spiciness adds extra interest. Drink now.",86,59.4,13.8,Medium,Light,None,Dry,Still White,https://wine-images.wine.com/media/catalog/product/domaine-sangouard-gu-2014-chardonnay-481427.jpg,"Cozy, Creamy, Rich, Luxurious","Lobster, Grilled fish, Roasted chicken, Brie cheese","This citrus-laden wine shows its fresh fruits right up front. It is bright, crisp and full of lime and lemon flavors. Spiciness adds extra interest. Drink now.","Domaine Sangouard-Guyot is a traditional French winery established in the late 1800s, known for its commitment to terroir and time-honored winemaking techniques."
2122,Camino del Inca 2011 Torrontés (Cafayate),Argentina,Cafayate,Camino del Inca,Torrontés,2011,"Dilute and watery on the bouquet, with a touch of lime and air freshener. Feels oily and chunky on the palate, with citrus and not too much else to ponder. Lemony and tangy on the finish, with pithy bitterness.",84,15.0,12.7,Medium-High,Medium-Full,Medium,Dry,Still Red,https://wine-images.wine.com/media/catalog/product/camino-del-inca-2011-torrontés-398895.jpg,"Balanced, Smooth, Sophisticated","Hard cheeses, Pasta, Red meat, Stewed dishes","Dilute and watery on the bouquet, with a touch of lime and air freshener. Feels oily and chunky on the palate, with citrus and not too much else to ponder. Lemony and tangy on the finish, with pithy bitterness.","Camino del Inca is a respected winery from Argentina, known for producing quality wines that showcase the unique characteristics of their regional terroir and local grape varieties."
2123,Prospect 772 2007 The Brat Red (Sierra Foothills),US,Sierra Foothills,Prospect 772,Rhône-style Red Blend,2007,"Softly tannic, sexy and delicious, with waves of berry-cherry pie filling and mocha for richness, and drier, tarter notes of currants, leather, rhubarb and pomegranates, accentuated with smoky wood. A blend of Grenache and Syrah, it's sophisticated and nuanced. Try as an interesting, more food-friendly alternative to Cabernet Sauvignon.",94,36.0,12.4,Medium,Full,Medium,Dry,Still Red,https://images.wine.com/labels/prospect-772-2007-rhône-style-red-403046.jpg,"Complex, Casual, Outstanding, Smooth","Stewed dishes, Pasta, Hard cheeses, Grilled vegetables","Softly tannic, sexy and delicious, with waves of berry-cherry pie filling and mocha for richness, and drier, tarter notes of currants, leather, rhubarb and pomegranates, accentuated with smoky wood. A blend of Grenache and Syrah, it's sophisticated and nuanced. Try as an interesting, more food-friendly alternative to Cabernet Sauvignon.",Established by passionate winemakers who moved to US to pursue their dream of creating world-class wines in the New World style.
